Авиакомпания,Аэропорт вылета,Аэропорт прилета,День недели,Месяц,Время вылета,Время прилета,Продолжительность полета
2,4,3,5,3,1.4787557415720038,-1.5623125010883332,-0.9521757996999912
0,4,3,0,0,1.6257785832474865,-1.7070380685814626,-0.465965618009056
2,0,2,0,7,-0.5795640418847524,-0.2597823936501675,-1.255969199951734
2,1,2,2,4,-1.461701091937648,-0.693959096129556,1.185913758575572
0,3,2,4,5,0.8906643748700735,1.042747713787998,-1.7214688148474082
0,1,2,1,7,1.0376872165455562,1.1874732812811275,0.5018208351743529
2,1,0,6,9,-1.1676554085866828,-0.8386846636226856,-0.4399418421183547
1,4,2,3,6,-0.4325412002092698,0.3191198763223506,0.755484357204946
2,1,0,5,2,0.5966186915191083,1.1874732812811275,0.8165250663489018
2,2,0,3,8,0.3025730081681431,1.042747713787998,-0.2003356162139818
2,4,2,4,1,1.4787557415720038,-1.5623125010883332,0.120744152901103
2,2,4,5,9,-0.7265868835602349,-0.5492335286364265,0.3351975379573655
0,3,1,6,4,0.3025730081681431,0.7532965788017392,-0.8128759968084668
2,4,3,2,0,1.1847100582210386,-1.7070380685814626,0.7510211756813152
1,3,0,3,3,0.1555501664926605,0.6085710113086097,-0.2774775546888927
0,4,1,4,7,1.0376872165455562,-1.7070380685814626,-0.5019054808275741
1,0,4,6,10,-0.8736097252357176,-0.404507961143297,0.478921904985259
1,1,3,0,6,1.1847100582210386,-1.7070380685814626,1.4633766760421736
1,0,3,0,11,1.4787557415720038,-1.4175869335952036,1.2917463883162006
1,3,0,6,9,-0.1384955168583046,0.4638454438154801,0.7296894650515284
0,1,2,6,3,0.5966186915191083,1.332198848774257,-0.9989452964699168
0,4,4,6,11,0.5966186915191083,1.1874732812811275,0.3274117091353757
1,1,0,5,6,-0.4325412002092698,-0.2597823936501675,0.9474683461929996
1,2,4,6,1,0.8906643748700735,1.476924416267387,-0.1916683442258539
0,1,2,3,1,0.1555501664926605,0.6085710113086097,1.5796537648798523
0,2,2,4,5,-0.2855183585337872,0.174394308829221,0.3152123874605493
0,1,0,5,6,-1.6087239336131305,-1.1281357986089446,-0.2320945537036368
2,2,2,6,6,0.7436415331945909,1.476924416267387,0.4998574645078789
2,3,1,1,11,-0.8736097252357176,-0.404507961143297,0.0814782302890366
2,0,3,1,3,-0.1384955168583046,0.6085710113086097,1.6809101397347723
1,4,0,4,7,-1.6087239336131305,-0.8386846636226856,0.2571863669484848
2,1,4,0,8,1.0376872165455562,1.6216499837605165,1.3595960671794762
1,0,1,2,11,0.7436415331945909,0.8980221462948687,0.1733425081209519
1,4,0,2,10,-1.0206325669112002,-0.404507961143297,1.1045792390458593
2,4,2,0,1,1.6257785832474865,-1.272861366102074,0.2999917205103877
1,2,2,5,1,-0.4325412002092698,0.3191198763223506,0.2909026089828027
2,3,2,5,5,1.0376872165455562,-1.7070380685814626,-0.9598530037713758
2,3,2,5,7,0.3025730081681431,0.7532965788017392,1.2182732889228398
0,0,4,2,10,-1.1676554085866828,-0.693959096129556,1.07985700077256
2,3,1,1,1,1.0376872165455562,1.6216499837605165,1.199028384536759
0,1,3,2,11,-1.461701091937648,-1.1281357986089446,-1.201424356652395
2,3,4,3,10,-1.1676554085866828,-0.8386846636226856,-0.1161727930317508
2,0,4,6,11,-0.7265868835602349,-0.2597823936501675,1.071689598687377
0,3,3,5,8,-0.7265868835602349,-0.404507961143297,-1.530488445852631
0,1,3,1,8,-0.7265868835602349,-0.2597823936501675,-0.3918912062603995
2,2,2,4,1,-0.1384955168583046,0.6085710113086097,1.4476799133716949
1,0,4,4,1,1.6257785832474865,-1.272861366102074,1.2993621021328623
0,2,0,6,3,1.4787557415720038,1.6216499837605165,-1.6525247409077657
1,2,3,1,8,-0.7265868835602349,-0.1150568261570379,0.3060617649398836
1,2,3,2,7,-0.2855183585337872,0.174394308829221,-0.5034020920486789
1,4,1,2,7,0.1555501664926605,0.6085710113086097,1.205807702220657
0,4,0,3,9,-0.7265868835602349,-0.1150568261570379,-0.3302882860349312
1,2,0,3,9,1.6257785832474865,-1.4175869335952036,-1.0342495234097595
0,0,3,2,5,-0.4325412002092698,-0.1150568261570379,0.3992811537670322
1,1,2,4,8,-0.8736097252357176,-0.5492335286364265,0.7190790855982451
2,1,1,5,11,0.5966186915191083,1.042747713787998,-0.4284422249507733
2,3,0,4,11,-1.3146782502621652,-0.8386846636226856,-1.4231567069155262
0,0,3,3,4,0.0085273248171779,0.3191198763223506,-0.4880533664792946
2,4,0,6,10,-1.3146782502621652,-0.8386846636226856,-0.7638597118464682
2,2,1,2,0,-1.1676554085866828,-0.693959096129556,-1.2760076210092484
1,3,1,3,9,1.3317328998965212,-1.5623125010883332,-1.2598304054767206
0,1,4,3,1,-1.3146782502621652,-1.1281357986089446,-0.2581203891320693
1,4,3,5,5,0.7436415331945909,1.042747713787998,-0.1280505379653922
1,4,1,2,7,-1.0206325669112002,-0.404507961143297,-1.3255213362493758
