Время вылета,Время прилета,Продолжительность полета
0.9565217391304348,0.043478260869565216,0.23408312725925307
1.0,0.0,0.3742551338343815
0.34782608695652173,0.43478260869565216,0.14650098253848198
0.08695652173913043,0.30434782608695654,0.8504838422309593
0.7826086956521738,0.8260869565217391,0.01229973061703804
0.8260869565217391,0.8695652173913043,0.6532632134413541
0.17391304347826086,0.2608695652173913,0.38175766056587607
0.3913043478260869,0.6086956521739131,0.7263931605648069
0.6956521739130435,0.8695652173913043,0.7439908971110067
0.6086956521739131,0.8260869565217391,0.45083495828124726
0.9565217391304348,0.043478260869565216,0.5434006782154077
0.30434782608695654,0.34782608695652173,0.6052265354930597
0.6086956521739131,0.7391304347826086,0.2742425760369768
0.8695652173913043,0.0,0.7251064472596667
0.5652173913043478,0.6956521739130435,0.42859531642611876
0.8260869565217391,0.0,0.36389384796046936
0.2608695652173913,0.3913043478260869,0.6466615643729077
0.8695652173913043,0.0,0.9304750381294549
0.9565217391304348,0.08695652173913043,0.8809948694173386
0.4782608695652174,0.6521739130434783,0.7189566198902393
0.6956521739130435,0.9130434782608695,0.22059971112438348
0.6956521739130435,0.8695652173913043,0.6029819192963497
0.3913043478260869,0.43478260869565216,0.7817412013507132
0.7826086956521738,0.9565217391304348,0.4533336902121235
0.5652173913043478,0.6956521739130435,0.9639971515586887
0.43478260869565216,0.5652173913043478,0.5994649147941633
0.043478260869565216,0.17391304347826086,0.44167901263828085
0.7391304347826086,0.9565217391304348,0.6526971833244748
0.2608695652173913,0.3913043478260869,0.5320805056443287
0.4782608695652174,0.6956521739130435,0.9931888669451832
0.043478260869565216,0.2608695652173913,0.5827362981690267
0.8260869565217391,1.0,0.9005555984803695
0.7391304347826086,0.7826086956521738,0.5585645256035403
0.21739130434782608,0.3913043478260869,0.8270354998563627
1.0,0.13043478260869565,0.5950768712933134
0.3913043478260869,0.6086956521739131,0.5924565250957579
0.8260869565217391,0.0,0.23186982704445674
0.6086956521739131,0.7391304347826086,0.8598129358439939
0.17391304347826086,0.30434782608695654,0.8199082000253617
0.8260869565217391,1.0,0.8542647244619086
0.08695652173913043,0.17391304347826086,0.16222599287661255
0.17391304347826086,0.2608695652173913,0.4750986867030846
0.30434782608695654,0.43478260869565216,0.8175535781315864
0.30434782608695654,0.3913043478260869,0.06735843268978292
0.30434782608695654,0.43478260869565216,0.3956104228054414
0.4782608695652174,0.6956521739130435,0.9259497385715507
1.0,0.13043478260869565,0.883190442293807
0.9565217391304348,1.0,0.0321759684036971
0.30434782608695654,0.4782608695652174,0.596826835279513
0.43478260869565216,0.5652173913043478,0.36346238229844735
0.5652173913043478,0.6956521739130435,0.8562191684426113
0.30434782608695654,0.4782608695652174,0.41337024204423384
1.0,0.08695652173913043,0.21042167595134142
0.3913043478260869,0.4782608695652174,0.6237015270808348
0.2608695652173913,0.34782608695652173,0.7158976996238684
0.6956521739130435,0.8260869565217391,0.3850729436963522
0.13043478260869565,0.2608695652173913,0.098301645692211
0.5217391304347826,0.6086956521739131,0.3678873444700524
0.13043478260869565,0.2608695652173913,0.2883737301688931
0.17391304347826086,0.30434782608695654,0.1407240041986607
0.9130434782608695,0.043478260869565216,0.14538781595617378
0.13043478260869565,0.17391304347826086,0.43417589215217717
0.7391304347826086,0.8260869565217391,0.47167439119543847
0.21739130434782608,0.3913043478260869,0.12644944336149183
1.0,0.0,0.6137524759787718
1.0,0.08695652173913043,0.6719957904771772
0.9565217391304348,0.043478260869565216,0.30617910474368154
0.9130434782608695,0.043478260869565216,0.9993519323458719
0.043478260869565216,0.17391304347826086,0.29411046638689503
0.9565217391304348,0.13043478260869565,0.36250270270207147
